Step,AgentID,Steps to fire up
6,"(20, 79)",-1
6,"(20, 80)",-1
6,"(20, 83)",-1
6,"(20, 84)",-1
6,"(20, 85)",-1
6,"(20, 88)",-1
6,"(20, 91)",-1
6,"(20, 92)",-1
6,"(20, 93)",-1
6,"(20, 99)",-1
6,"(21, 1)",-1
6,"(21, 5)",-1
6,"(21, 8)",-1
6,"(21, 10)",-1
6,"(21, 11)",-1
6,"(21, 12)",-1
6,"(21, 13)",-1
6,"(21, 18)",-1
6,"(21, 20)",-1
6,"(21, 21)",-1
6,"(21, 23)",-1
6,"(21, 25)",-1
6,"(21, 26)",-1
6,"(21, 28)",-1
6,"(21, 32)",-1
6,"(21, 35)",-1
6,"(21, 36)",-1
6,"(21, 39)",-1
6,"(21, 43)",-1
6,"(21, 46)",-1
6,"(21, 47)",-1
6,"(21, 48)",-1
6,"(21, 50)",-1
6,"(21, 53)",-1
6,"(21, 56)",-1
6,"(21, 60)",-1
6,"(21, 65)",-1
6,"(21, 68)",-1
6,"(21, 70)",-1
6,"(21, 73)",-1
6,"(21, 74)",-1
6,"(21, 75)",-1
6,"(21, 78)",-1
6,"(21, 80)",-1
6,"(21, 82)",-1
6,"(21, 83)",-1
6,"(21, 86)",-1
6,"(21, 87)",-1
6,"(21, 93)",-1
6,"(21, 95)",-1
6,"(21, 98)",-1
6,"(21, 99)",-1
6,"(22, 6)",-1
6,"(22, 9)",-1
6,"(22, 10)",-1
6,"(22, 12)",-1
6,"(22, 15)",-1
6,"(22, 16)",-1
6,"(22, 21)",-1
6,"(22, 22)",-1
6,"(22, 27)",-1
6,"(22, 29)",-1
6,"(22, 33)",-1
6,"(22, 34)",-1
6,"(22, 38)",-1
6,"(22, 39)",-1
6,"(22, 40)",-1
6,"(22, 42)",-1
6,"(22, 43)",-1
6,"(22, 44)",-1
6,"(22, 47)",-1
6,"(22, 48)",-1
6,"(22, 50)",-1
6,"(22, 51)",-1
6,"(22, 53)",-1
6,"(22, 56)",-1
6,"(22, 58)",-1
6,"(22, 61)",-1
6,"(22, 64)",-1
6,"(22, 66)",-1
6,"(22, 70)",-1
6,"(22, 72)",-1
